From Fire - Gustave;gustave;none;none;4;;;;;en;From Fire; Deals medium single target damage. 3 hits. Uses weapon's element;;;Marking Shot
Lumiere Assault;gustave;none;none;3;;;;;en;Lumiere Assault; Deals low single target damage. 5 hits. Uses weapon's element. Critical Hits generate 1 Additional Charge ;;;N/A
Marking Shot - Gustave;gustave;none;none;2;;;;;en;Marking Shot; Deals low single target Lightning damage. 1 hit;;;Overcharge
Overcharge;gustave;none;none;4;;;;;en;Overcharge; High Lightning damage based on the amount of Charges . 1 hit;;;N/A
Powerful - Gustave;gustave;none;none;3;;;;;en;Powerful; Applies Powerful to 1-3 allies, increasing the damage they deal for 3 turns;;;Lumiere Assault
Recovery;gustave;none;none;3;;;;;en;Recovery; Recovers 50% Health and dispels Status Effects;;;Powerful
Shatter;gustave;none;none;5;;;;;en;Shatter; Deals High Lightning damage to all enemies. 1 hit. Can Break . If a target is Broken by the hit, Overcharge is fully Charged ;;;Recovery
Strike Storm - Gustave;gustave;none;none;7;;;;;en;Strike Storm; Deals very high single target damage. 6 hits. Uses Weapon's element;;;From Fire
Crippling Tsunami;lune;none;none;5;;;;;en;Crippling Tsunami; Deals medium Ice damage to all enemies. 1 hit. Applies Slow for 3 turns. Consumes for greatly increased damage;;;Thermal Transfer
Crustal Crush;lune;none;none;7;;;;;en;Crustal Crush; Deals High single target Earth and Break damage . 5 hits. Consumes: Increased Damage;;;Rockslide
Earth Rising;lune;none;none;3;;;;;en;Earth Rising; Deals low Earth damage to all enemies. 1 hit. Consumes for increased damage;;;Ice Lance
Electrify;lune;none;none;1;;;;;en;Electrify; Deals low single target Lightning damage. 3 hits. Critical Hits trigger an additional hit;;;Thunderfall
Elemental Genesis;lune;none;none;4;;;;;en;Elemental Genesis; Deals extreme damage to all enemies. 8 hits. Each hit deals damage in a random element;;;Elemental Trick
Elemental Trick;lune;none;none;3;;;;;en;Elemental Trick; Deals low single target Ice, Fire, Lightning, and Earth damage. 4 hits. Critical Hits generate the corresponding Stain;;;Mayhem
Fire Rage;lune;none;none;5;;;;;en;Fire Rage; Deals increasingly high Fire damage to all enemies every turn until Lune receives damage. Stuns self if interrupted;;;Wildfire
Healing Light;lune;none;none;3;;;;;en;Healing Light; Heals the targeted Ally and dispels Status Effects;;; Ice Lance, Immolation 
Hell;lune;none;none;9;;;;;en;Hell; Deals very high Fire damage that applies 5 Burn per hit to all enemies. 2 hits. Deals self-damage if failed. Consumes: Greatly increased damage;;;Fire Rage
Ice Lance;lune;none;none;4;;;;;en;Ice Lance; Deals medium single target Ice damage that Slows the target. 1 Hit. Consumes to deal increased damage;;;N/A
Immolation;lune;none;none;2;;;;;en;Immolation; Deals low single target Fire damage and 3 Burn . 1 hit. Applies 2 more Burns if the target is Marked . Consumes for increased damage;;;N/A
Lightning Dance;lune;none;none;7;;;;;en;Lightning Dance; Deals very high single target Lightning damage. 6 hits. Critical Hits trigger an additional hit. Consumes: Greatly increased damage;;;Electrify
Mayhem;lune;none;none;3;;;;;en;Mayhem; Consumes all Stains to deal high elemental damage to the target. Can Break if 4 Stains are consumed;;; Electrify or Thermal Transfer 
Rebirth;lune;none;none;5;;;;;en;Rebirth; Revives an ally with 30-70% Health and 2 additional AP. Consumes: Costs 0 AP;;;Healing Light
Revitalization;lune;none;none;5;;;;;en;Revitalization; Heals 1-3 allies by 40-60% Health. Consumes to also apply Regen that heals on turn start for 3 turns;;;Rebirth
Rockslide;lune;none;none;5;;;;;en;Rockslide; Deals medium single target Earth damage. 2 hits. Can Break Consumes for greatly increased damage;;;Earth Rising
Sky Break;lune;none;none;3;;;;;en;Sky Break; Deals extreme damage to all enemies. 1 hit. Element depends on which Stains Lune has the most;;; Reach Relationship Level 7 with Lune. 
Storm Caller;lune;none;none;6;;;;;en;Storm Caller; All enemies receive medium Lightning damage at the end of their turn, and low Lightning damage when they receive damage. Duration: 3 turns. Consumes for double thunder strikes on turn end;;;Lightning Dance
Terraquake;lune;none;none;5;;;;;en;Terraquake; Deals low Earth damage and Break damage to all enemies every turn. Also increases all Break damage received by 50%. Duration: 3 turns. Consumes to increase the Duration to 5 turns;;;Crustal Crush
Thermal Transfer;lune;none;none;2;;;;;en;Thermal Transfer; Deals low single target Ice damage. 2 hits. Gains 4 AP if target is Burning Consumes: Play a second turn;;;Earth Rising
Thunderfall;lune;none;none;5;;;;;en;Thunderfall; Deals medium Lightning damage to random enemies. 2-6 hits. Critical Hits trigger an additional hit. Consumes for increased damage;;;Immolation
Tree of Life;lune;none;none;2;;;;;en;Tree of Life; Cleanses all Status Effects and Heals all allies;;; Reach Relationship Level 4 with Lune. 
Tremor;lune;none;none;1;;;;;en;Tremor; Deals high Earth damage to all enemies. 1 hit;;;Automatically unlocked upon learning the Gradient Attacks/Skills feature, which becomes available upon progressing the story.
Typhoon;lune;none;none;8;;;;;en;Typhoon; On turn start, deals high Ice damage to all enemies and Heals allies. Consumes: Duration increased from 3 to 5 turns;;;Crippling Tsunami
Breaking Rules;maelle;none;none;3;;;;;en;Breaking Rules; Deals low single target Physical damage. 2 hits. Destroys all target's Shields Gains 1 AP per Shield destroyed. If target us Defenceless , play a second turn;;;Fleuret Fury
Burning Canvas;maelle;none;none;5;;;;;en;Burning Canvas; Change Stance: Offensive Deals high single target Void damage. 5 hits. Applies 1 Burn per hit;;; Phantom Strike or Stendhal 
Combustion;maelle;none;none;4;;;;;en;Combustion; Deals medium single target Physical Damage. 2 Hits. Consumes up to 10 Burn for increased damage;;;Rain of Fire
Degagement;maelle;none;none;2;;;;;en;Degagement; Deals low single target Fire damage. 1 hit. Target becomes weak to Fire damage for 2 turns;;; Spark, Guard Down 
Egide;maelle;none;none;3;;;;;en;Egide; Protects allies by taking damage in their place, for 2 turns;;;Guard Up
Fender's Flurry;maelle;none;none;4;;;;;en;Fender's Flurry; Deals medium damage to all enemies. 1 hit. Uses weapon's element. Applies Defenceless for 1 turn;;;Breaking Rules
Fleuret Fury;maelle;none;none;6;;;;;en;Fleuret Fury; Deals high single target Physical damage. 3 hits;;;Guard Up
Gommage;maelle;none;none;3;;;;;en;Gommage; Kills weak targets. Otherwise deals extreme Void damage. 1 hit;;; Reach Relationship Level 7 with Maelle. 
Guard Down;maelle;none;none;3;;;;;en;Guard Down; Change Stance: Offensive Applies Defenceless to all enemies for 3 turns;;; Guard Up or Degagement 
Guard Up;maelle;none;none;3;;;;;en;Guard Up; Applies Shell , reducing damage taken, to up to 3 allies for 3 turns;;;Swift Stride
Gustave's Homage;maelle;none;none;8;;;;;en;Gustave's Homage; Deals high single target Lightning damage. 8 hits. Increased damage to Marked targets, Doesn't remove Mark;;; Automatically unlocked through story progression after completing the Forgotten Battlefield location. 
Last Chance;maelle;none;none;1;;;;;en;Last Chance; Reduces self-Health to 1 but refills all AP Switches to Virtuose Stance;;;Mezzo Forte
Mezzo Forte;maelle;none;none;1;;;;;en;Mezzo Forte; Reapplies current stance and gives 2-4 AP;;;Degagement
Momentum Strike;maelle;none;none;7;;;;;en;Momentum Strike; Deals high single target damage. 1 hit. Uses weapon's element. Increased damage to Marked targets;;;Egide
Offensive Switch;maelle;none;none;1;;;;;en;Offensive Switch; Deals low single target damage and applies Defenceless for 3 turns. 1 hit. Uses weapon's element;;;N/A
Payback;maelle;none;none;9;;;;;en;Payback; Deals very high single target Physical damage. 1 hit. Reduced AP cost for each attack parried since last turn;;; Last Chance or Momentum Strike 
Percee;maelle;none;none;5;;;;;en;Percee; Deals medium single target Physical damage. 1 hit. Increased damage to Marked targets;;;N/A
Phantom Strike;maelle;none;none;7;;;;;en;Phantom Strike; Change Stance: Defensive Deals very high Void damage to all enemies. 4 hits. Also gives +35% of a Gradient Charge;;; Offensive Switch or Burning Canvas 
Phoenix Flame;maelle;none;none;2;;;;;en;Phoenix Flame; Applies 10 Burn to all enemies and revives all allies with 50 to 70% Health;;; Reach Relationship Level 4 with Maelle. 
Pyrolyse;maelle;none;none;9;;;;;en;Pyrolyse; Deals extreme single target Fire damage. 3 hits. Applies 5 Burn per hit. Offensive Stance: Applies 2 more Burn per hit;;;Revenge
Rain of Fire;maelle;none;none;5;;;;;en;Rain of Fire; Deals medium single target Fire damage. 2 hits. Applies 3 Burn per hit. Defensive Stance: applies 2 more Burn per hit;;;Degagement
Revenge;maelle;none;none;5;;;;;en;Revenge; Deals high single target Fire damage. 1 hit. Damage increased for each hit received since the previous turn;;;Combustion
Spark;maelle;none;none;3;;;;;en;Spark; Deals low single target Fire damage. 1 hit;;;Offensive Switch
Stendhal;maelle;none;none;8;;;;;en;Stendhal; Change Stance: Stanceless Deals extreme single target Void damage. 1 hit;;; Percee or Burning Canvas 
Swift Stride;maelle;none;none;3;;;;;en;Swift Stride; Deals low single target Physical damage. 1 hit;;;Percee
Sword Ballet;maelle;none;none;9;;;;;en;Sword Ballet; Deals extreme single target damage. 5 hits. Uses weapon's element. Critical Hitsdeal double damage;;;Fencer's Flurry
Virtuose Strike;maelle;none;none;1;;;;;en;Virtuose Strike; Deals high single target Physical damage;;;Automatically unlocked upon learning the Gradient Attacks/Skills feature, which becomes available upon progressing the story.
All Set;sciel;none;none;3;;;;;en;All Set; Applies Shell , Powerful , and Rush to all allies;;;Card Weaver
Bad Omen;sciel;none;none;3;;;;;en;Bad Omen; Deals low Dark damage to all enemies. 2 hits. Applies 2 Foretell per hit;;;Marking Card
Card Weaver;sciel;none;none;3;;;;;en;Card Weaver; Deals low single target Physical damage. 1 hit. Propagates target's Foretell to all enemies. Plays a second turn;;;Dark Cleansing
Dark Cleansing;sciel;none;none;0;;;;;en;Dark Cleansing; Cleanses an ally of their Status Effects and propogates the target's buff to all allies;;;Spectral Sweep
Dark Wave;sciel;none;none;6;;;;;en;Dark Wave; Deals high Dark damage to all enemies. 3 hits. Consumes all Foretell to deal additional damage;;; Grim Harvest or Delaying Slash 
Delaying Slash;sciel;none;none;5;;;;;en;Delaying Slash; Deals medium single targe damage. 2 hits. Uses weapon's element. Consumes Foretell to increase damage and delay target's turn;;;Bad Omen
Doom;sciel;none;none;2;;;;;en;Doom; Deals very high single target Dark damage. 3 hits. Applies Powerless , Defenceless , and Slow for 3 turns;;; Reach Relationship Level 4 with Sciel. 
End Slice;sciel;none;none;3;;;;;en;End Slice; Deals extreme single target Physical damage. 1 hit. Damage is increased for each Foretell consumed since the beginning of the battle;;; Reach Relationship Level 7 with Sciel. 
Final Path;sciel;none;none;9;;;;;en;Final Path; Deal extreme single target Dark damage and applies 10 Foretell 1 hit;;;Dark Wave
Firing Shadow;sciel;none;none;3;;;;;en;Firing Shadow; Deals low Dark damage to all enemies. 3 hits. Consumes 1 Foretell per hit for increased damage;;;Searing Bond
Focused Foretell;sciel;none;none;2;;;;;en;Focused Foretell; Deals medium single target Physical damage. 1 hit;;;N/A
Fortune's Fury;sciel;none;none;5;;;;;en;Fortune's Fury; Targeted ally deals double damage for 1 turn;;;Firing Shadow
Grim Harvest;sciel;none;none;5;;;;;en;Grim Harvest; Deals medium single target Dark damage. 1 hit. Heals all allies by 30% Health;;;Sealed Fate
Harvest;sciel;none;none;3;;;;;en;Harvest; Deals medium single target damage. 1 hit. Uses weapon's element. Heals self by 40% Health;;;Twilight Slash
Intervention;sciel;none;none;5;;;;;en;Intervention; Targeted ally plays immediately and gains 4 AP;;;Dark Cleansing
Marking Card;sciel;none;none;3;;;;;en;Marking Card; Deals medium single target Dark damge. 2 hits. Applies Mark to the target;;;Focused Foretell
Our Sacrifice;sciel;none;none;4;;;;;en;Our Sacrifice; Deals extreme Dark damage to all enemies. 1 hit. Absorbs allies' Health and enemies' Foretell to deal increased damage;;;Fortune's Fury
Phantom Blade;sciel;none;none;5;;;;;en;Phantom Blade; Deals high single target Dark damage. 1 hit. Consumes all Foretell to deal additional damage;;;Twilight Slash
Plentiful Harvest;sciel;none;none;4;;;;;en;Plentiful Harvest; Deals medium single target Physical damage. 2 hits. Consumes all Foretell on a target and gives 1 AP to a party member for each Foretell consumed;;;Firing Shadow
Rush;sciel;none;none;3;;;;;en;Rush; Applies Rush to 1-3 allies, increasing their speed for 3 turns;;;Focused Foretell
Sealed Fate;sciel;none;none;4;;;;;en;Sealed Fate; Deals high single target damage. 5-7 hits. Uses weapon's element. Each hit can consume 1 Foretell to deal 200% more damage. Critical Hitsdon't remove the Foretell but still gets the damage increase;;;Phantom Blade
Searing Bond;sciel;none;none;4;;;;;en;Searing Bond; Deals medium single target Dark damage. 1 hit. Applies 5 Foretell Also deals damage and applies Foretell to every other Burning enemies;;;Harvest
Shadow Bringer;sciel;none;none;1;;;;;en;Shadow Bringer; Deals high single target Dark damage to random enemies. 10 hits. Applies 1 Foretell per hit;;;Automatically unlocked upon learning the Gradient Attacks/Skills feature, which becomes available upon progressing the story.
Spectral Sweep;sciel;none;none;7;;;;;en;Spectral Sweep; Deals medium single target damage. 2 to 6 hits. Uses weapon's element. Applies 1 Foretell per hit;;;Rush
Twilight Dance;sciel;none;none;9;;;;;en;Twilight Dance; Deals extreme single target Dark damage. 4 hits. During Twilight , extends Twilight duration by 1 turn. Consumes all Foretell to deal additional damage;;; Final Path or All Set or Our Sacrifice 
Twilight Slash;sciel;none;none;2;;;;;en;Twilight Slash; Deals low single target Dark damage. 1 hit. Consumes all Foretell to deal additional damage;;;N/A
Angel's Eyes;verso;none;none;3;;;;;en;Angel's Eyes; Deals extreme Physical Damage. 8 hits. Gain 1 additional Perfection per hit. Applies Aureole to Verso, reviving him if he dies;;; Reach Relationship Level 7 with Esquie. 
Ascending Assault;verso;none;none;5;;;;;en;Ascending Assault; Deals low single target damage. 1 hit. Uses weapon's element. Increase damage at each cast;;;Blitz
Assault Zero;verso;none;none;3;;;;;en;Assault Zero; Critical Hits generate 1 additional Perfection: Increased damage;;;N/A
Berserk Slash;verso;none;none;4;;;;;en;Berserk Slash; Deals medium single target Physical damage. 3 hits. Damage is increased for each health Verso is missing;;;Quick Strike
Blitz;verso;none;none;3;;;;;en;Blitz; Deals low single target Physical damage. 1 hit. Plays a second time. Kills non-boss enemies with less than 10% health.: Increased damage;;;Purification
Burden;verso;none;none;1;;;;;en;Burden; Removes all Status Effects from all allies and applies them to Verso. Gains 1 Rank;;;Berserk Slash
