From Fire - Gustave;gustave;none;none;4;;;;;en;From Fire; Deals medium single target damage. 3 hits. Uses weapon's element;;;Marking Shot
Defiant Strike;verso;none;none;3;;;;;en;Defiant Strike; Deals high single target Physical damage that applies Mark 2 hits. Costs 30% of current Health.: Increased damage;;;Berserk Slash
End Bringer;verso;none;none;9;;;;;en;End Bringer; Deals extreme single target Physical damage. 6 hits;;; Light Holder or Steeled Strike 
Follow Up;verso;none;none;5;;;;;en;Follow Up; Deals medium single target Light damage. 1 hit. Damage increased for each Free Aim shot this turn, up to 10 times;;;Purification
From Fire;verso;none;none;4;;;;;en;From Fire; Deals medium single target damage. 3 hits. Uses weapon's element. Heals self by 20% Health if the target Burns: Increased damage;;; N/A 
Leadership;verso;none;none;3;;;;;en;Leadership; Reduces current Rank. Gives 2-4 AP to other allies;;;Powerful
Light Holder;verso;none;none;4;;;;;en;Light Holder; Medium single target Light damage. 5 hits. At completion, gains 1 Rank;;;Radiant Slash
Marking Shot;verso;none;none;2;;;;;en;Marking Shot; Deals low single target damage. 1 hit. Uses weapon's element;;;Assault Zero
Overload;verso;none;none;0;;;;;en;Overload; Increases Rank to and refills all AP but sets self-Health to 1;;; Follow Up or Speed Burst 
Paradigm Shift;verso;none;none;1;;;;;en;Paradigm Shift; Deals low Physical single target damage and gives 1-3 AP back. 3 hits;;; Purification or Quick Strike 
Perfect Break;verso;none;none;7;;;;;en;Perfect Break; Deals very high single target Light damage. 1 hit;;; Blitz or Berserk Slash 
Perfect Recovery;verso;none;none;3;;;;;en;Perfect Recovery; Recovers 50% Health and dispels Status Effects. Gives 0-2 Perfection: Increased heal to 100% Health;;;From Fire (Verso)
Phantom Stars;verso;none;none;9;;;;;en;Phantom Stars; Deals extreme Light damage to all enemies. 5 hits;;;Burden
Powerful;verso;none;none;3;;;;;en;Powerful; Applies Powerful to 1-3 Allies, increasing damage they deal for 3 turns. Gives 0-2 Perfection: Duration increased to 5 turns;;;Quick Strike
Purification;verso;none;none;5;;;;;en;Purification; Deals single target medium Light damage. 2 hits. Dispels self Status Effects.: Increased damage;;;Perfect Recovery
Quick Strike;verso;none;none;2;;;;;en;Quick Strike; Deals low single target Physical damage. 1 hit;;;Marking Shot
Radiant Slash;verso;none;none;2;;;;;en;Radiant Slash; Deals low Light damage to all enemies. 1 hit. Can Break: Increased damage;;;Blitz
Sabotage;verso;none;none;1;;;;;en;Sabotage; Deals medium Physical damage to all enemies. 1 hit;;;Automatically unlocked upon learning the Gradient Attacks/Skills feature, which becomes available upon progressing the story.
Speed Burst;verso;none;none;6;;;;;en;Speed Burst; Deals high single target Light damage. 5 hits. Damage increased by Speed difference with the target;;; Ascending Assault or Overload 
Steeled Strike;verso;none;none;9;;;;;en;Steeled Strike; After 1 turn, deals extreme single target Physical damage. 13 hits. Interrupted if any damage taken.: Increased damage;;; Strike Storm or End Bringer 
Striker;verso;none;none;2;;;;;en;Striker; Deals high single target Physical damage. 1 hit;;; Reach Relationship Level 4 with Esquie. 
Strike Storm;verso;none;none;7;;;;;en;Strike Storm; Deals very high single target damage. 5 hits. Uses weapon's element;;;Defiant Strike
Abbest Wind;monoco;none;none;2;;;;;en;Abbest Wind; Deals low single target Physical damage. 1 hit. Plays a second turn;;; Defeat and acquire the foot of an Abbest enemy while Monoco is in the active party. 
Aberration Light;monoco;none;none;7;;;;;en;Aberration Light; Deals high Light damage to all enemies. 2 hits. Applies 4 Burn per hit. Agile Mask: Applies 2 more Burn per hit;;; Defeat and acquire the foot of an Aberration enemy while Monoco is in the active party. 
Ballet Charm;monoco;none;none;2;;;;;en;Ballet Charm; Deals low single target Light damage. 1 hit. Applies Powerless to the taret for 3 turns. Caster Mask: Increased damage;;; Defeat and acquire the foot of a Ballet enemy while Monoco is in the active party. 
Benisseur Mortar;monoco;none;none;5;;;;;en;Benisseur Mortar; Deals medium single target Ice damage. 3 hits. Change to Almighty Mask if target is Marked Caster Mask: Increased damage;;; Defeat and acquire the foot of a Benisseur enemy while Monoco is in the active party. 
Braseleur Smash;monoco;none;none;4;;;;;en;Braseleur Smash; Deals medium finslge target Fire damage and applies 3 Burn . 2 hits. Balanced Mask: Increased damage;;; Defeat and acquire the foot of a Braseleur enemy while Monoco is in the active party. 
Break Point;monoco;none;none;3;;;;;en;Break Point; Deals extreme single target damage. 1 hit. Uses weapon's element. Fills the target's Break Bar and Breaks it;;; Reach Relationship Level 7 with Monoco. 
Boucheclier Fortify;monoco;none;none;3;;;;;en;Boucheclier Fortify; Applies Shell to 1-3 Allies for 3 turns;;; Defeat and acquire the foot of a Bouchelier enemy while Monoco is in the active party. 
Bruler Bash;monoco;none;none;4;;;;;en;Bruler Bash; Deals medium single target Physical damage. 3 hits. Can Break Caster Mask: Increased damage;;; Defeat and acquire the foot of a Bruler enemy while Monoco is in the active party. 
Chalier Combo;monoco;none;none;7;;;;;en;Chalier Combo; Deals high single target Physical damage. 6 hits. Interrupted if failed. Balanced Mask: Increased damage;;;Starting skill of Monoco upon joining the party.
Chapelier Slash;monoco;none;none;7;;;;;en;Chapelier Slash; Deals high Physical damage to all enemies. 3 hits. Applies Mark Agile Mask: Increased damage;;; Defeat and acquire the foot of a Chapelier enemy while Monoco is in the active party. 
Chevaliere Ice;monoco;none;none;6;;;;;en;Chevaliere Ice; Deals high Ice damage to all enemies. 3 hits. Applies Slow to the targets for 3 turns. Balanced Mask: Increased damage;;; Defeat and acquire the foot of a Gold Chevaliere enemy while Monoco is in the active party. 
Chevaliere Piercing;monoco;none;none;3;;;;;en;Chevaliere Piercing; Deals single target Physical damage through Shields . 6 hits. Damage increased for each Shield on the target. Agile Mask: Increased damage;;; Defeat and acquire the foot of a Ceramic Chevaliere enemy while Monoco is in the active party. 
Chevaliere Thrusts;monoco;none;none;7;;;;;en;Chevaliere Thrusts; Deals high Physical damage to all enemis. 3 hits. Critical Hits deal double damage. Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Steel Chevaliere enemy while Monoco is in the active party. 
Clair Enfeeble;monoco;none;none;5;;;;;en;Clair Enfeeble; Deals medium Light damage to all enemies. 1 hit. Applies Powerless for 3 turns. Balanced Mask: Increased damage;;;Defeat and acquire the foot of a Clair enemy while Monoco is in the active party.
Contorsionniste Blast;monoco;none;none;6;;;;;en;Contorsionniste Blast; Deals medium Physical damage to all enemies. 1 hit. Heals all allies by 10% Health for each enemy hit. Balanced Mask: Increased damage;;; Defeat and acquire the foot of a Contorsionniste enemy while Monoco is in the active party. 
Creation Void;monoco;none;none;9;;;;;en;Creation Void; Deals extreme Void damage to random targets. 3 hits. More damage if the same target is hit multiple times;;;Defeat and acquire the foot of a Creation enemy while Monoco is in the active party.
Cruler Barrier;monoco;none;none;4;;;;;en;Cruler Barrier; Applies 1-2 Shields to the target. Heavy Mask: Gives 2 AP to the target;;; Defeat and acquire the foot of a Cruler enemy while Monoco is in the active party. 
Cultist Blood;monoco;none;none;3;;;;;en;Cultist Blood; Deals medium Dark damage to all enemies. 3 hits. Sacrifices 90% Health to increase damage. Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Greatsword Cultist enemy while Monoco is in the active party. 
Cultist Slashes;monoco;none;none;5;;;;;en;Cultist Slashes; Deals medium single target Dark damage. 3 hits. Deals more damage the less Health Monoco has. Agile Mask: Increased Damage;;;Defeat and acquire the foot of a Reaper Cultist enemy while Monoco is in the active party.
Danseuse Waltz;monoco;none;none;8;;;;;en;Danseuse Waltz; Deals high single target Fire damage. 3 hits. Deals more damage against Burning targets. Balanced Mask: Increased damage;;; Defeat and acquire the foot of a Danseuses enemy while Monoco is in the active party. 
Demineur Thunder;monoco;none;none;2;;;;;en;Demineur Thunder; Deals low single target Lightning damage. 1 hit. Deals extra Break Damage Caster Mask: Increased Break damage;;; Defeat and acquire the foot of a Demineur enemy while Monoco is in the active party. 
Duallist Storm;monoco;none;none;8;;;;;en;Duallist Storm; Deals extreme single target Physical damage. 4 hits. Can Break Almighty Mask: Increased damage;;; Defeat and acquire the foot of a Dualliste enemy while Monoco is in the active party. 
Echassier Stabs;monoco;none;none;4;;;;;en;Echassier Stabs; Deals medium single target Physical damage. 2 hits. Second hit applies Mark to the target. Agile Mask: Increased damage;;; Defeat and acquire the foot of an Echassier enemy while Monoco is in the active party. 
Eveque Spear;monoco;none;none;6;;;;;en;Eveque Spear; Deals high single target Earth damage and applies Powerless for 3 turns. 1 hit. Heavy Mask: Increased damage;;; Defeat and acquire the foot of an Eveque enemy while Monoco is in the active party. 
Gault Fury;monoco;none;none;3;;;;;en;Gault Fury; Deals low single target Physical damage. 4 hits. Applies Mark Balanced Mask: Increased damage;;; Defeat and acquire the foot of a Gault enemy while Monoco is in the active party. 
Glaise Earthquakes;monoco;none;none;4;;;;;en;Glaise Earthquakes; Deals medium Earth damage to all enemies. 3 hits. Applies Powerful to self. Heavy Mask: applies Powerful to all allies;;; Defeat and acquire the foot of a Glaise enemy while Monoco is in the active party. 
Grosse Tete Whack;monoco;none;none;6;;;;;en;Grosse Tete Whack; Deals high single target Physical damage. 5 hits. Applies Defenceless for 3 turns. Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Grosse Tete enemy while Monoco is in the active party. 
Hexga Crush;monoco;none;none;5;;;;;en;Hexga Crush; Deals medium single target Earth damage. 2 hits. Applies Defenceless to the target for 3 turns. Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Hexga enemy while Monoco is in the active party. 
Jar Lampstorm;monoco;none;none;5;;;;;en;Jar Lampstorm; Deals medium Physical damage to all enemies. 4 hits. Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Jar enemy while Monoco is in the active party. 
Lampmaster Light;monoco;none;none;5;;;;;en;Lampmaster Light; Deals high Light damage to all enemies. 1 hit. Increased damage at each cast. Almighty Mask: Increased damage;;; Defeat and acquire the foot of a Lampmaster enemy while Monoco is in the active party. 
Lancelier Impale;monoco;none;none;2;;;;;en;Lancelier Impale; Deals low single target Ice damage. 1 hit. Slows the target for 3 turns. Agile Mask: Increased damage;;; Defeat and acquire the foot of a Lancelier enemy while Monoco is in the active party. 
Luster Slices;monoco;none;none;3;;;;;en;Luster Slices; Deals low single target Physical damage. 3 hits. Applies Rush to self for 3 turns. Agile Mask: Increased damage;;; Defeat and acquire the foot of a Luster enemy while Monoco is in the active party. 
Mighty Strike;monoco;none;none;1;;;;;en;Mighty Strike; Deals double damage if the target is Stunned Goes to Almighty Mask;;;Automatically unlocked upon learning the Gradient Attacks/Skills feature, which becomes available upon progressing the story.
Moissonneuse Vendange;monoco;none;none;5;;;;;en;Moissonneuse Vendange; Deals High single target Physical damage. 3 hits. Can Break Balanced Mask: Increased damage;;; Defeat and acquire the foot of a Moissoneusse enemy while Monoco is in the active party. 
Obscur Sword;monoco;none;none;6;;;;;en;Obscur Sword; Deals high single target Dark damage. 5 hits. Deals more damage against Powerless targets. Heavy Mask: Increased damage;;;Defeat and acquire the foot of an Obscur enemy while Monoco is in the active party.
Orphelin Cheers;monoco;none;none;3;;;;;en;Orphelin Cheers; Applies Powerful to 1-3 Allies. Caster Mask: Also gives 3 AP to targets;;; Defeat and acquire the foot of an Orphelin enemy while Monoco is in the active party. 
Pelerin Heal;monoco;none;none;5;;;;;en;Pelerin Heal; Applies Regen to all allies. Caster Mask: also Heals 40% Health;;; Defeat and acquire the foot of a Pelerin enemy while Monoco is in the active party. 
Portier Crash;monoco;none;none;8;;;;;en;Portier Crash; Deals high Physical damage to all enemies. 1 hit. Can Break Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Portier enemy while Monoco is in the active party. 
Potier Energy;monoco;none;none;4;;;;;en;Potier Energy; Gives 1-3 AP to all allies;;; Defeat and acquire the foot of a Potier enemy while Monoco is in the active party. 
Ramasseur Bonk;monoco;none;none;2;;;;;en;Ramasseur Bonk; Deals low single target Dark damage. 1 hit. Can Break Agile Mask: fills 20% of the target's Break Bar;;; Defeat and acquire the foot of a Ramasseur enemy while Monoco is in the active party. 
Rocher Hammering;monoco;none;none;3;;;;;en;Rocher Hammering; Deals medium single target Physical damage. 4 hits. Can Break Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Rocher enemy while Monoco is in the active party. 
Sakapatate Estoc;monoco;none;none;3;;;;;en;Sakapatate Estoc; Deals low single target Lightning damage. 1 hit. Deals more damage if the target is Stunned Balanced Mask: Increased damage;;; Defeat and acquire the foot of a Ranger Sakapatate enemy while Monoco is in the active party. 
Sakapatate Explosion;monoco;none;none;4;;;;;en;Sakapatate Explosion; Deals medium Lightning damage to random enemies. 3 hits. Critical Hits trigger an additional hit. Caster Mask: Increased damage;;; Defeat and acquire the foot of a Catapult Sakapatate enemy while Monoco is in the active party. 
Sakapatate Fire;monoco;none;none;9;;;;;en;Sakapatate Fire; Deals extreme Fire to all enemies. 3 hits. Apply 3 Burn per hit. Almighty Mask: Increased damage;;;Defeat and acquire the foot of the Ultimate Sakapatate enemy while Monoco is in the active party.
Sakapatate Slam;monoco;none;none;7;;;;;en;Sakapatate Slam; Deals high Physical damage to all enemies. 1 hit. Increased damage to Marked targets. Heavy Mask: Increased damage;;; Defeat and acquire the foot of a Robust Sakapatate enemy while Monoco is in the active party. 
Sanctuary;monoco;none;none;2;;;;;en;Sanctuary; Gives 2 Shields and applies Regen to all allies for 3 turns;;; Reach Relationship Level 4 with Monoco. 
Sapling Absorption;monoco;none;none;6;;;;;en;Sapling Absorption; Deals high Dark damage. 3 hits. Recovers 5% Health on hit;;; Defeat and acquire the foot of a Sapling enemy while Monoco is in the active party. 
Stalact Punches;monoco;none;none;4;;;;;en;Stalact Punches; Deals medium single target Ice damage. 4 hits. High Break damage Heavy Mask: Increased damage;;;N/A
Troubadour Trumpet;monoco;none;none;3;;;;;en;Troubadour Trumpet; Applies a random buff to 1 to 3 allies. Caster Mask: applies a second random buff;;; Defeat and acquire the foot of a Troubadour enemy while Monoco is in the active party. 
